"АМОКСИГАРД (AMOXYGARD) сусп. д/инъекций";"Расфасована по 100 мл в стеклянные или полимерные флаконы соответствующей вместимости, по 250 мл в стеклянные бутылки, укупоренные резиновыми пробками и обкатанные алюминиевыми колпачками. Каждая единица фасовки снабжена инструкцией по применению."
"АЗИТРОНИТ® (AZITHRONIT) раствор д/инъекций";"Расфасован по 20, 100 мл в стеклянные флаконы или по 250 мл в стеклянные бутылки, укупоренные резиновыми пробками с алюминиевыми колпачками и клипсами контроля первого вскрытия. Флаконы с препаратом объемом 100 мл упакованы в индивидуальные пачки из картона. Каждая потребительская фасовка снабжена инструкцией по применению."
"АЛЬВЕТ®-СУСПЕНЗИЯ (ALVET-SUSPENSION)";"Расфасована по 100, 200, 250, 400, 500 и 1000 мл в полимерные бутылки или во флаконы из темного стекла соответствующей вместимости, укупоренные навинчивающимися пластмассовыми крышками; по 1.5, 2, 5, 10 л в полиэтиленовые канистры с навинчивающимися крышками. Каждая потребительская упаковка снабжена инструкцией по применению препарата."
"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 8 мг";"Фасовка по 8 таблеток в фольгированные блистеры. Блистеры упакованы в картонные коробки по 4 блистера (32 таблетки). Каждая потребительская упаковка снабжена инструкцией по применению."
"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 30 мг";"Фасовка по 8 таблеток в фольгированные блистеры. Блистеры упакованы в картонные коробки по 4 блистера (32 таблетки). Каждая потребительская упаковка снабжена инструкцией по применению."
"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 80 мг";"Фасовка по 8 таблеток в фольгированные блистеры. Блистеры упакованы в картонные коробки по 4 блистера (32 таблетки). Каждая потребительская упаковка снабжена инструкцией по применению."
"ПРОПАЛИН (PROPALIN®) раствор д/перорального применения";"Расфасован по 30 и 100 мл во флаконы, герметично закрытые завинчивающимися крышками с контролем первого вскрытия. Флаконы упакованы в индивидуальные картонные коробки в комплекте с градуированным дозатором вместимостью 1.5 мл. Каждая потребительская упаковка снабжена инструкцией по применению."
"ИПАКИТИНЕ (IPAKITINE)";"Расфасован по 60 и 180 г в пластиковые банки, герметично закрытые пластиковыми крышками с контролем первого вскрытия, в комплекте с мерной ложкой вместимостью 1 г."
"ОРИДЭРМИЛ (ORIDERMYL®)";"Мазь расфасована по 10 г в алюминиевые тубы, закрытые навинчивающимися крышками и упакованные в картонные коробки в комплекте с канюлей из поливинилхлорида. Каждая упаковка снабжена инструкцией по применению препарата."
"АЛЮСПРЕЙ (ALUSPRAY®) аэрозоль д/наружн.прим.";"Расфасован по 75 г в алюминиевые баллоны под давлением. Объем баллона 210 мл."
"АСД фракция 3 (ASD( )fraction 3)";"Расфасован по 100, 200 мл во флаконы соответствующей вместимости, укупоренные резиновыми пробками, укрепленными алюминиевыми колпачками. Каждая единица фасовки снабжена инструкцией по применению."
"СУВАКЦИН PCV MH (SUVAXYN PCV MH) сусп. д/инъекций";"Расфасована по 20 мл (20 или 10 прививных доз), 100 мл (100 или 50 прививных доз) и 500 мл(500 или 250 прививных доз) в пластиковые флаконы соответствующей вместимости. Флаконы герметично укупорены резиновыми пробками, укрепленными алюминиевыми колпачками."
"СУВАКЦИН PCV2 (SUVAXYN PCV2) сусп. д/инъекций";"Расфасована по 20 мл (10 прививных доз), 100 мл (50 прививных доз), 250 мл (125 прививных доз) и 500 мл(250 прививных доз) в пластиковые флаконы соответствующей вместимости. Флаконы герметично укупорены резиновыми пробками, укрепленными алюминиевыми колпачками."
"ПУЛВАК E. coli (POULVAC E. coli)";"Расфасован по 1000 (7.5 см(3)), 2500 (7.5 см(3)), 5000 доз (7.5 см(3)), 10 000 (20 см(3)) и 20 000 (20 см(3)) в стеклянные или пластиковые флаконы, герметично укупоренные резиновыми пробками, укрепленными алюминиевыми колпачками. Флаконы с вакциной после лиофилизации вакуумированы."
"ПУЛВАК БУРСА F (POULVAC BURSA F) лиофилизат д/пригот. р-ра д/приема внутрь";"Расфасована по 1000, 2000 и 5000 доз (6-8 см(3) объем до лиофилизации для всех фасовок) в стеклянные флаконы соответствующей вместимости. Флаконы вакуумированы и герметично укупорены резиновыми пробками, укрепленными алюминиевыми колпачками."
"ПУЛВАК IB QX (POULVAC IB QX)";"Расфасована по 2000, 5000 и 10 000 прививных доз в полиэтиленовые или пластиковые флаконы соответствующей вместимости, герметично укупоренные резиновыми пробками, укрепленными алюминиевыми колпачками. Флаконы после лиофилизации вакуумированы.Флаконы с вакциной упакованы в коробки. В каждую упаковку с вакциной вложена инструкция по применению на русском языке."
"ДРАКСИН (DRAXXIN) раствор д/инъекций: 25 мг";"Расфасован по 50 мл, 100 мл, 250 мли 500 млв стеклянные флаконы, укупоренные резиновыми пробками, укрепленными алюминиевыми колпачками. Каждый флакон упакован в картонную коробку в комплекте с инструкцией по применению."
"АПОКВЕЛ (APOQUEL) 3.6 мг";"Расфасованы по 20 или 100 шт. во флаконы из плотного полиэтилена белого цвета с завинчивающейся полиэтиленовой крышкой, недоступной для открывания детьми."
"АПОКВЕЛ (APOQUEL) 5.4 мг";"Расфасованы по 20 или 100 шт. во флаконы из плотного полиэтилена белого цвета с завинчивающейся полиэтиленовой крышкой, недоступной для открывания детьми."
"АПОКВЕЛ (APOQUEL) 16 мг";"Расфасованы по 20 или 100 шт. во флаконы из плотного полиэтилена белого цвета с завинчивающейся полиэтиленовой крышкой, недоступной для открывания детьми."
"ЭНРОКСИЛ® ТАБЛЕТКИ СО ВКУСОМ МЯСА (ENROXIL® TABLETS WITH MEAT FLAVOUR) таб. 15 мг";"Препарат выпускают расфасованным по 10 таблеток в блистеры, упакованные в картонные коробки по 1 или 10 шт. Каждую упаковку снабжают инструкцией по применению."
"ЭНРОКСИЛ® ТАБЛЕТКИ СО ВКУСОМ МЯСА (ENROXIL® TABLETS WITH MEAT FLAVOUR) таб. 50 мг";"Препарат выпускают расфасованным по 10 таблеток в блистеры, упакованные в картонные коробки по 1 или 10 шт. Каждую упаковку снабжают инструкцией по применению."
"ЭНРОКСИЛ® ТАБЛЕТКИ СО ВКУСОМ МЯСА (ENROXIL® TABLETS WITH MEAT FLAVOUR) таб. 150 мг";"Препарат выпускают расфасованным по 10 таблеток в блистеры, упакованные в картонные коробки по 1 или 10 шт. Каждую упаковку снабжают инструкцией по применению."
"ЭкоСайд Адванс (ECOCID ADVANCED)";"Расфасован по 50 г в пакеты из ламинированной фольги, упакованные по 15 шт. в картонные коробки; по 1 кг и 2 кг - в пакеты из ламинированной фольги и по 4 кг, 5 кг, 7 кг и 10 кг в пластиковые контейнеры соответствующей вместимости."
"ФЛУБАКТИН® (FLUBACTIN®)";"Расфасован по 1 л в пластиковые бутылки."
"ФИПРИСТ® СПРЕЙ (FYPRYST® SPRAY) раствор д/наружного применения";"Расфасован по 100 мл, 250 мл и 500 мл в полиэтиленовые флаконы с распылительной головкой."
"ТРИСУЛЬФОН® (TRISULFON®)";"Расфасован по 1 кг в герметично закрытые пакеты из ламинированной фольги или в пластиковые контейнеры."
