species.name;breeds.name (NOT NULL)
Лошади;Голландская упряжная порода
Лошади;Голштинская порода
Лошади;Гудбрандсдальская порода
Лошади;Гунтер
Лошади;Гуцульская порода
Лошади;Дартмурский пони
Лошади;Дейл
Лошади;Делибозская (казахская) порода
Лошади;Донская порода
Лошади;Забайкальская
Лошади;Иомудская порода
Лошади;Ирландский тяжеловоз
Лошади;Исландский пони
Лошади;Кабардинская порода
Лошади;Казахская порода
Лошади;Камаргу
Лошади;Канадская порода
Лошади;Карабаирская порода
Лошади;Карабахская порода
Лошади;Карачаевская порода
Лошади;Карельская порода
Лошади;Кватерхорс
Лошади;Киргизская порода
Лошади;Кладрубская порода
Лошади;Клевелендская порода
Лошади;Клейдесдальская порода
Лошади;Клеппер
Лошади;Конемара
Лошади;Коник польский
Лошади;Креолло
Лошади;Кузнецкая порода
Лошади;Кустанайская порода
Лошади;Кушумская порода
Лошади;Латвийская порода
Лошади;Липиццанская (липпицианская) порода
Лошади;Литовская тяжелоупряжная порода
Лошади;Локайская порода
Лошади;Мегрельская порода
Лошади;Мезенская порода
Лошади;Мекленбургская порода
Лошади;Метис
Лошади;Минусинская порода
Лошади;Монгольская порода
Лошади;Морган
Лошади;Нарымская порода
Лошади;Неаполитанская порода
Лошади;Новокиргизская порода
Лошади;Нониус
Лошади;Норийская порода
Лошади;Нормандская порода
Лошади;Нормандский коб
Лошади;Норфолкский рысак
Лошади;Нью-форестский пони
Лошади;Ольденбургская порода
Лошади;Орлово-ростопчинская порода
Лошади;Орловская верховая порода
Лошади;Орловский рысак
Лошади;Остфризская порода
Лошади;Паломино
Лошади;Персидская порода
Лошади;Першеронская порода
Лошади;Печорская порода
Лошади;Пинто
Лошади;Пинцгауэрская порода
Лошади;Полесская порода
Лошади;Полукровная
Лошади;Приобская порода
Лошади;Рейнский тяжеловоз
Лошади;Родстер
Лошади;Ростопчинская порода
Лошади;Русская верховая порода
Лошади;Русская рысистая порода
Лошади;Русский рысак
Лошади;Русский тяжеловоз
Лошади;Скирос-пони
Лошади;Советский тяжеловоз
Лошади;Сорайя
Лошади;Спортивная лошадь
Лошади;Спортивная помесь
Лошади;Стрелецкая порода
Лошади;Суффолькская порода (суффольк)
Лошади;Тавдинская порода
Лошади;Теннесси
Лошади;Терская порода
Лошади;Торийская порода
Лошади;Тракененская порода
Лошади;Тракено-ганноверская помесь
Лошади;Тувинская порода
Лошади;Турецкая порода
Лошади;Тушинская порода
Лошади;Украинская верховая порода
Лошади;Уэльский горный пони
Лошади;Уэльский коб
Лошади;Уэльский пони
Лошади;Финская порода
Лошади;Фиордская порода
Лошади;Французские ардены
Лошади;Французский рысак
Лошади;Фредериксборгская (датская) порода
Лошади;Фризская упряжная
Лошади;Фуриозо-нортстар
Лошади;Хакне
Лошади;Хоккайдо-пони
Лошади;Четвертьмильная, или ковбойская, порода
Лошади;Чистокровная верховая порода
Лошади;Чумышская порода
Лошади;Шайр
Лошади;Шания
Лошади;Шведские ардены
Лошади;Шетландские (шетлендские) пони
Лошади;Эстонская местная порода
Лошади;Эстонские ардены
Лошади;Ютландская (датская) порода
Лошади;Якутская порода
Моллюски;
Насекомые энтомофаги;
Обезьяны;"Азарская мирикина (Aotus azarae)		"
Обезьяны;Амазонский ревун (Alouatta nigerrima)
Обезьяны;Ангольская крошечная мартышка (Miopithecus talapoin)
Обезьяны;Ангольский колобус (Colobus angolensis)
Обезьяны;Анубис (Papio anubis)
Обезьяны;Бабуин (Papio cynocephalus)
Обезьяны;Беличий саймири (Saimiri sciureus)
Обезьяны;Белобородый гиббон (Hylobates albibarbis)
Обезьяны;Беловоротничковый мангабей (Cercocebus torquatus)
Обезьяны;Белогорлая мартышка (Cercopithecus albogularis)
Обезьяны;Белозадый гульман (Trachypithecus delacouri)
Обезьяны;Белолобая коата (Ateles belzebuth)
Обезьяны;Белолобый гульман (Trachypithecus laotum)
Обезьяны;Белолобый капуцин (Cebus albifrons)
Обезьяны;Белолобый лемур (Eulemur albifrons)
Обезьяны;Белоногий колобус (Colobus vellerosus)
Обезьяны;Белоногий лемур(Lepilemur leucopus)
Обезьяны;Белоногий тамарин (Saguinus leucopus)
Обезьяны;Белорукий гиббон (Hylobates lar)
Обезьяны;Белощёкая коата (Ateles marginatus)
Обезьяны;Белощёкий хохлатый гиббон (Nomascus leucogenys)
Обезьяны;Бенгальский лори (Nycticebus bengalensis)
Обезьяны;Бирманская курносая обезьяна ( Rhinopithecus strykeri )
Обезьяны;Блестящий гульман (Trachypithecus auratus)
Обезьяны;Боливийский ревун (Alouatta sara)
Обезьяны;Боливийский саймири (Saimiri boliviensis)
Обезьяны;Большая белоносая мартышка (Cercopithecus nictitans)
Обезьяны;Бонобо(карликовый шимпанзе)
Обезьяны;Бородатая мартышка (Cercopithecus lhoesti)
Обезьяны;Бородатый мангобей (Lophocebus johnstoni)
Обезьяны;Бородатый мангобей (Lophocebus opdenboschi Scouteden)
Обезьяны;Бородатый мангобей (Lophocebus osmani)
Обезьяны;Бородатый мангобей (Lophocebus ugandae)
Обезьяны;Бурая шерстистая обезьяна (Lagothrix lagotricha)
Обезьяны;Буроголовый тамарин (Saguinus fuscicollis)
Обезьяны;Бурый лемур (Eulemur fulvus)
Обезьяны;Бурый ревун (Alouatta guariba)
Обезьяны;Валуви (Phaner furcifer )
Обезьяны;Вандеру (Macaca silenus)
Обезьяны;Варварийская обезьяна (Macaca sylvanus)
Обезьяны;Венценосный лемур (Eulemur coronatus)
Обезьяны;Верветка (Chlorocebus pygerythrus)
Обезьяны;Вилколобый мышиный лемур (Phaner furcifer )
Обезьяны;Вильчатополосый лемур (Phaner electromontis)
Обезьяны;Вильчатополосый лемур (Phaner furcifer)
Обезьяны;Вильчатополосый лемур (Phaner pallescens)
Обезьяны;Вильчатополосый лемур (Phaner parienti)
Обезьяны;Вильчатополосый лемур(Phaner electromontis)
Обезьяны;Вильчатополосый лемур(Phaner furcifer )
Обезьяны;Вильчатополосый лемур(Phaner pallescens)
Обезьяны;Вильчатополосый лемур(Phaner parienti)
Обезьяны;Волосатоухий лемур (Allocebus trichotis)
Обезьяны;Восточная горилла (Gorilla beringei)
Обезьяны;Восточная равнинная горилла (Gorilla beringei graueri)
Обезьяны;Восточный галаго (Galago matschiei)
Обезьяны;Восточный долгопят (Tarsius tarsier)
Обезьяны;Восточный колобус (Colobus guereza)
Обезьяны;Восточный потто (Arctocebus calabarensis) 
Обезьяны;Восточный хулок (Hoolock leuconedys)
Обезьяны;Восточный чёрный хохлатый гиббон (Nomascus nasutus)
Обезьяны;Восточный шерстистый лемур (Avahi laniger) 
Обезьяны;Габонская крошечная мартышка (Miopithecus ogouensis)
Обезьяны;Габонский галаго (Galago gabonensis)
Обезьяны;Гайянский ревун (Alouatta macconnelli)
Обезьяны;Галаго (Galago cameronensis)
Обезьяны;Галаго (Galago nyasae)
Обезьяны;Галаго (Galago thomasi)
Обезьяны;Галаго Аллена (Galago alleni)
Обезьяны;Галаго Гранта (Galago granti)
Обезьяны;Галаго Демидова (Galago demidoff)
Обезьяны;Галаго карликовый ангольский (Galago kumbirensis sp. nov.)
Обезьяны;Гамадрил (Papio hamadryas)
Обезьяны;Гапалемур(Hapalemur alaotrensis)
Обезьяны;Гапалемур(Hapalemur meridionalis)
Обезьяны;Гапалемур(Hapalemur occidentalis) 
Обезьяны;Гватемальский ревун (Alouatta pigra)
Обезьяны;Гвинейский колобус (Piliocolobus pennantii)
Обезьяны;Гвинейский павиан (Papio papio)
Обезьяны;Гелада (Theropithecus gelada)
Обезьяны;Гиббон Мюллера (Hylobates muelleri)
Обезьяны;Гиббон(Nomascus annamensis)
Обезьяны;Гиббон(Nomascus hainanus)
Обезьяны;Гиббон(Nomascus siki)
Обезьяны;Гололобый гульман (Trachypithecus hatinhensis)
Обезьяны;Гололобый лангур (Presbytis frontata)
Обезьяны;Гололобый тамарин (Saguinus martinsi)
Обезьяны;Голоухий саймири (Saimiri ustus)
Обезьяны;Голубая мартышка (Cercopithecus mitis)
Обезьяны;Голуболицая мартышка (Cercopithecus cephus)
Обезьяны;Горная горилла (Gorilla beringei beringei)
Обезьяны;Горный галаго (Galago orinus)
Обезьяны;Горный резус (Macaca assamensis)
Обезьяны;Гривет (Chlorocebus aethiops)
Обезьяны;Гривистый мангабей (Lophocebus albigena)
Обезьяны;Гривистый тонкотел (Trachypithecus cristatus)
Обезьяны;Гуйчжоуский тонкотел (Rhinopithecus brelichi)
Обезьяны;Гульман(Semnopithecus ajax)
Обезьяны;Гульман(Semnopithecus dussumieri)
Обезьяны;Гульман(Semnopithecus entellus) 
Обезьяны;Гульман(Semnopithecus hector)
Обезьяны;Гульман(Semnopithecus priam)
Обезьяны;Гульман(Semnopithecus schistaceus)
Обезьяны;Джам-джам (Chlorocebus djamdjamensis)
Обезьяны;Диадемовый сифака (Propithecus diadema)
Обезьяны;Долгопят (Tarsius fuscus)
Обезьяны;Долгопят (Tarsius lariang)
Обезьяны;Долгопят (Tarsius pelengensis)
Обезьяны;Долгопят (Tarsius sangirensis)
Обезьяны;Долгопят (Tarsius sp. 1)
Обезьяны;Долгопят (Tarsius sp. 2)
Обезьяны;Долгопят (Tarsius spectrumgurskyae)
Обезьяны;Долгопят (Tarsius tumpara)
Обезьяны;Долгопят (Tarsius wallacei)
Обезьяны;Долгопят диана (Tarsius dentatus)
Обезьяны;Дрил (Mandrillus leucophaeus)
Обезьяны;Другая
Обезьяны;Желтохвостая обезьяна (Oreonax flavicauda)
Обезьяны;Желтощёкий хохлатый гиббон (Nomascus gabriellae)
Обезьяны;Занзибарский галаго (Galago zanzibaricus)
Обезьяны;Западная горилла (Gorilla gorilla)
Обезьяны;Западная равнинная горилла (Gorilla gorilla gorilla)
Обезьяны;Западная речная горилла (Gorilla gorilla diehli)
Обезьяны;Западноамазонская мирикина (Aotus nancymaae)
Обезьяны;Западный какажао (Cacajao calvus calvus)
Обезьяны;Западный какажао (Cacajao calvus rubicundus)
Обезьяны;Западный какажао (Cacajao calvus ucayalii)
Обезьяны;Западный какажао (Cacajao calvus)
Обезьяны;Западный какажао Cacajao calvus novaesi)
Обезьяны;Западный хулок (Hoolock hoolock)
Обезьяны;Западный шерстистый лемур(Avahi occidentalis)
Обезьяны;Западный шимпанзе (Pan troglodytes verus)
Обезьяны;Зелёная мартышка (Chlorocebus sabaeus)
Обезьяны;Зелёный колобус (Procolobus verus)
Обезьяны;Золотистая львиная игрунка (Leontopithecus rosalia)
Обезьяны;Золотистобурый мышиный лемур (Microcebus ravelobensis)
Обезьяны;Золотистоголовая львиная игрунка (чёрное тело)(Leontopithecus chrysomelas)
Обезьяны;Золотистоплечий тамарин (Saguinus tripartitus)
Обезьяны;Золотистый лемур (Hapalemur aureus)
Обезьяны;Золотистый львиный тамарин (Leontopithecus rosalia)
Обезьяны;Золотистый потто (Arctocebus aureus)
Обезьяны;Золотобрюхий мангабей (Cercocebus chrysogaster)
Обезьяны;Золотоголовый сифака (Propithecus tattersalli)
Обезьяны;Золотой лангур (Trachypithecus geei)
Обезьяны;Иглокготный галаго (Euoticus pallidus pallidus)
Обезьяны;Иглокготный галаго (Euoticus pallidus talboti)
Обезьяны;Игрунка Жоффруа (Callithrix geoffroyi)
Обезьяны;Игрунка Куля (Callithrix kuhlii)
Обезьяны;Изящный галаго (Euoticus elegantulus)
Обезьяны;Императорский тамарин (Saguinus imperator)
Обезьяны;Индийский макак (Macaca radiata)
Обезьяны;Индри (Indri indri)
Обезьяны;Кази (Trachypithecus ebenus)
Обезьяны;Кази (Trachypithecus germaini)
Обезьяны;Кази (Trachypithecus phayrei)
Обезьяны;Кази (Trachypithecus poliocephalus)
Обезьяны;Кази (Trachypithecus shortridgei)
Обезьяны;Калимантанский лори (Nycticebus menagensis)
Обезьяны;Калимантанский орангутан (Pongo pygmaeus)
