Текущий вид;Текущая порода;Новый вид;Новая порода;Комментарий;;
собаки;керн-терьер;Собаки;КЕРН ТЕРЬЕР ;;;
собаки;керри блю терьер;Собаки;КЕРРИ БЛЮ ТЕРЬЕР ;;;
собаки;китайская хохлатая собака;Собаки;КИТАЙСКАЯ ХОХЛАТАЯ СОБАКА ;;;
собаки;кламбер спаниель;Собаки;КЛАМБЕР СПАНИЕЛЬ ;;;
собаки;колли, шотландская овчарка;Собаки;КОЛЛИ ДЛИННОШЕРСТНЫЙ ;;;
собаки;комондор, венгерская овчарка;Собаки;Комондор;;;
собаки;котон де тулеар;Собаки;Котон де туло;;;
собаки;крапчато-голубой кунхаунд;Собаки;Черноподпалый кунхаунд (енотовая собака);;;
собаки;ксолойтцкуинтли;Собаки;Мексиканская голая собака (стандартная);;;
собаки;курцхаар;Собаки;НЕМЕЦКИЙ КУРЦХААР ;;;
собаки;курчавый ретривер;Собаки;КУРЧАВОШЕРСТНЫЙ РЕТРИВЕР ;;;
собаки;лабрадор;Собаки;Лабрадор;;;
собаки;лабрадор ретривер;Собаки;Лабрадор-ретривер;;;
собаки;лабрадор-ретривер;Собаки;Лабрадор-ретривер;;;
собаки;лаготто-романьоло;Собаки;Лаготто-романьоло (Итальянская водяная собака);нет в справочнике AnimalID;;
собаки;ландсир;Собаки;Ландсир;нет в справочнике AnimalID;;
собаки;ланкаширский хилер;Собаки;Ланкаширский хилер;нет в справочнике AnimalID;;
собаки;лапландский шпиц;Собаки;Шведский лаппхунд;;;
собаки;левретка, итальянская борзая;Собаки;ИТАЛЬЯНСКАЯ ЛЕВРЕТКА ;;;
собаки;лейкланд-терьер;Собаки;ЛЕЙКЛЕНД ТЕРЬЕР ;;;
собаки;леонбергер;Собаки;ЛЕОНБЕРГЕР ;;;
собаки;лхасский апсо;Собаки;ЛХАССКИЙ АПСО ;;;
собаки;малый брабансон;Собаки;Пти Брабансон;;;
собаки;малый вандейский бассет-гриффон;Собаки;МАЛЫЙ ВАНДЕЙСКИЙ БАССЕТ-ГРИФОН ;;;
собаки;малый мюнстерлендер;Собаки;Малая мюнстерлендерская легавая;;;
собаки;мальтез, мальтийский бишон;Собаки;МАЛЬТЕЗЕ ;;;
собаки;манчестерский терьер;Собаки;МАНЧЕСТЕР ТЕРЬЕР ;;;
собаки;маремма;Собаки;Маремма-абрутская овчарка;;;
собаки;мастино наполетано;Собаки;Мастино-наполетано;;;
собаки;медиу поденгу португезу;Собаки;Португальский поденго (гладкошерстный);;;
собаки;метис;Собаки;Метис;;;
собаки;миниатюрный ксолойтцкуинтли;Собаки;Мексиканская голая собака (миниатюрная);;;
собаки;миттельшнауцер;Собаки;Миттельшнауцер;;;
собаки;мопс;Собаки;МОПС ;;;
собаки;московская сторожевая;Собаки;Московская сторожевая;;;
собаки;московский длинношерстный той-терьер;Собаки;Русский той-терьер длинношерстный;;;
собаки;московский дракон;Собаки;Московский дракон;нет в справочнике AnimalID;;
собаки;московский короткошерстный той-терьер;Собаки;Русский той-терьер;;;
собаки;немецкая овчарка;Собаки;НЕМЕЦКАЯ ОВЧАРКА ;;;
собаки;немецкий вахтельхунд;Собаки;Немецкая перепелиная собаки;;;
