"МИЛПРАЗОН® ТАБЛЕТКИ ДЛЯ КОШЕК (MILPRAZON® TABLETS FOR CATS) 4+10 мг";" 705-3-9.14-2362 № ПВИ-3-9.14/04384 от 22.10.14"
"МИЛПРАЗОН® ТАБЛЕТКИ ДЛЯ КОШЕК (MILPRAZON® TABLETS FOR CATS) 16+40 мг";" 705-3-9.14-2362 № ПВИ-3-9.14/04384 от 22.10.14"
"КОКЦИСАН 120Г ГРАНУЛЯТ (KOKCISAN 120G GRANULATE)";" РК-ВП-4-2770-14 от 29.08.14"
"КАЛЬФОСЕТ® (CALFOSET®) раствор д/инъекций";"705-3-31.12-1180 № ПВИ-3-2.2/00985 от 29.11.12"
"ГИРАКСА® (GIRAXA®)";"705-3-29.13-3273 № ПВИ-3-4.8/02497 от 04.07.16"
"ФЛОРОН® 4% (FLORON® 4%)";"№ РК-ВП-4-3055-15 от 01.10.15"
"ЭГОЦИН 155 (EGOCIN 155)";"№ РК-ВП-4-3010-15 от 29.05.15"
"ЭНРОКСИЛ® 10% РАСТВОР ДЛЯ ИНЪЕКЦИЙ (ENROXIL® 10% SOLUTIO PRO INJECTIONIBUS) раствор д/инъекций";"705-3-13.13-1445 № ПВИ-3-0.2/01192 от 20.06.13"
"ЭНРОКСИЛ® 10% РАСТВОР ДЛЯ ПЕРОРАЛЬНОГО ПРИМЕНЕНИЯ (ENROXIL® 10% SOLUTIO PER USUM ORAL) раствор д/перорального применения";"705-3-13.13-1446 № ПВИ-3-0.2/01191 от 20.06.13"
"ЭНРОКСИЛ® 5% ПОРОШОК (ENROXIL® 5% POWDER)";"705-3-13.13-2331 № ПВИ-3-0.2/01189 от 09.10.14"
"ЭНРОКСИЛ® 5% РАСТВОР ДЛЯ ИНЪЕКЦИЙ (ENROXIL® 5% SOLUTIO PRO INJECTIONIBUS) раствор д/инъекций";"705-3-13.13-1443 № ПВИ-3-0.2/01190 от 20.06.13"
"ФЛОРОН® 30% (FLORON® 30%) раствор д/инъекций";"705-3-30.12-3152 № ПВИ-3-3.7/02192 от 21.04.16"
"ФЛОРОН® 10% (FLORON® 10%)";"705-3-30.12-3151 № ПВИ-3-3.7/02191 от 21.04.16"
"ФЛОРОН® 2% ПОРОШОК (FLORON® 2% POWDER)";"705-3-23.11-0544 № ПВИ-3-4.5/01801 от 18.01.12"
"ЭГОЦИН® 20 ПОРОШОК (EGOCIN® 20 POWDER)";"705-3-25.13-3147 № ПВИ-3-1.3/01403 от 18.03.16"
"ЭГОЦИН® L.A. (EGOCIN® L.A.) раствор д/инъекций";"705-3-3.14-3154 № ПВИ-3-3.3/01443 от 21.04.16"
