ID;NameClinic;AdmArea;District;Address;AssignedRegistrationNumberCertificate;ValidityCertificate;Comments;global_id
131;АДИ-Вед;Восточный административный округ;район Косино-Ухтомский;Российская Федерация, город Москва, внутригородская территория муниципальный округ Косино-Ухтомский, улица Дмитриевского, дом 1;77-01-109;15.04.2043;;903873688
132;Ветклиника «Оберег»;Восточный административный округ;район Гольяново;город Москва, Курганская улица, дом 1;77-01-086;26.12.2040;;903873693
133;ООО «ВИТАВЕТ», ветеринарная клиника;Восточный административный округ;район Северное Измайлово;город Москва, Щёлковский проезд, дом 2;77-01-178;27.12.2039;;903873727
134;Ветеринарный кабинет при зоомагазине «Динозврик»;Восточный административный округ;район Северное Измайлово;город Москва, Щёлковское шоссе, дом 86;77-01-147;18.10.2040;;903873779
135;«Веста»;Восточный административный округ;район Преображенское;город Москва, Буженинова улица, дом 2;77-01-089;10.09.2043;;903873794
136;Лотос-фарма;Восточный административный округ;район Новогиреево;город Москва, Кусковская улица, дом 16;77-01-239;06.03.2040;;903873796
137;ветеринарная клиника «Ремонт животных»;Восточный административный округ;район Новогиреево;город Москва, Кусковская улица, дом 16;77-01-201;17.02.2040;;903873797
138;Ветеринарный кабинет;Восточный административный округ;район Перово;город Москва, 2-я Владимирская улица, дом 37, корпус 1;77-01-192;13.12.2040;;903873799
139;Ветеринарный кабинет;Восточный административный округ;район Перово;Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, Новогиреевская улица, дом 29, корпус 1;77-01-346;12.06.2042;;903873800
140;ВетЛекар;Восточный административный округ;район Новокосино;город Москва, Салтыковская улица, дом 51;77-01-282;08.07.2041;;903873865
141;ООО МЕРУНГ;Восточный административный округ;район Северное Измайлово;город Москва, улица Константина Федина, дом 11;77-01-321;17.08.2040;;903874107
142;Ветеринарная клиника «Дай Лапу»;Восточный административный округ;район Перово;город Москва, Зелёный проспект, дом 5/12, строение 2;77-01-324;20.02.2042;;903874272
143;Шанс Био Восток;Восточный административный округ;район Измайлово;город Москва, 10-я Парковая улица, дом 3;77-01-342;18.05.2040;;903874348
144;Аленвет;Восточный административный округ;район Перово;город Москва, шоссе Энтузиастов, дом 76А;77-01-347;18.06.2040;;903874349
145;МАРТИН;Восточный административный округ;район Богородское;город Москва, Краснобогатырская улица, дом 42;77-01-388;26.04.2022;;903874350
146;ООО «Велес»;Восточный административный округ;район Восточное Измайлово;город Москва, Нижняя Первомайская улица, дом 50;77-01-428;25.01.2023;;903874351
147;ветеринарная клиника Дарвин;Южный административный округ;район Чертаново Центральное;город Москва, Чертановская улица, дом 45А, корпус 1;77-08-085;12.12.2040;;903874398
148;Альбета А;Южный административный округ;район Чертаново Северное;город Москва, Сумской проезд, дом 5, корпус 4;77-08-473;01.01.2040;;903874407
149;ветеринарная клиника ООО ТИБЕТ МЕД;Южный административный округ;район Чертаново Северное;город Москва, Варшавское шоссе, дом 122;77-08-449;01.01.2040;;903874424
150;ООО «Биоконтроль»;Южный административный округ;район Москворечье-Сабурово;город Москва, Каширское шоссе, дом 24;77-08-017;08.02.2040;;903874426
151;ООО «Ветеринарная клиника МиВ»;Южный административный округ;район Нагатино-Садовники;город Москва, 1-й Нагатинский проезд, дом 5, корпус 1;77-08-024;10.10.2022;;903874477
152;ООО «Дженк»;Южный административный округ;район Бирюлёво Восточное;город Москва, 6-я Радиальная улица, дом 5, корпус 4;77-08-320;13.08.2042;;903874494
