Текущий вид;Текущая порода;Новый вид;Новая порода;id_species;id_breed;
собаки;пшеничный мягкошерстный терьер;Собаки;ИРЛАНДСКИЙ МЯГКОШЕРСТНЫЙ ПШЕНИЧНЫЙ ТЕРЬЕР ;25;640;
собаки;ретривер;Собаки;Ретривер;25;599;
собаки;Риджбек;Собаки;Родезийский риджбек (rhodesian ridgeback);25;1156;
собаки;ризеншнауцер;Собаки;РИЗЕНШНАУЦЕР ;25;576;
собаки;родезийский риджбек;Собаки;Родезийский риджбек (rhodesian ridgeback);25;662;
собаки;ротвейлер;Собаки;РОТВЕЙЛЕР ;25;590;
собаки;румынская овчарка;Собаки;Румынская карпатская овчарка;25;930;
собаки;русская гончая;Собаки;Русская гончая;25;931;
собаки;русская пегая гончая;Собаки;Русская пегая гончая;25;932;
собаки;русский спаниель;Собаки;Русский спаниель;25;933;
собаки;русский той-терьер;Собаки;Русский той-терьер;25;1000;
собаки;русский черный терьер;Собаки;Русский черный терьер;25;1159;
собаки;русско-европейская лайка;Собаки;Русско-европейская лайка;25;642;
собаки;рэт-терьер;Собаки;Рэт-терьер;25;934;
собаки;салюки, персидская гончая;Собаки;САЛЮКИ ;25;915;
собаки;самоедская лайка;Собаки;САМОЕД ;25;937;
собаки;сегуджио итальяно;Собаки;Итальянская гончая (Сегуджио итальяно);25;821;
собаки;сенбернар;Собаки;СЕНБЕРНАР ;25;582;
собаки;сеттер-гордон;Собаки;СЕТТЕР ГОРДОН ;25;941;
собаки;сиба-ину;Собаки;Сиба-Ину;25;942;
собаки;сибирская хаски;Собаки;СИБИРСКИЙ ХАСКИ ;25;943;
собаки;сибирский хаски;Собаки;СИБИРСКИЙ ХАСКИ ;25;1145;
собаки;сийлихам терьер;Собаки;СИЛИХЕМ ТЕРЬЕР ;25;667;
собаки;сикоку;Собаки;Сикоку (Коти-ину);25;945;
собаки;силки терьер;Собаки;Австралийский силки (шелковистый) терьер;25;672;
собаки;скай терьер;Собаки;СКАЙ ТЕРЬЕР ;25;673;
собаки;скотч терьер;Собаки;СКОТЧ ТЕРЬЕР ;25;947;
собаки;смаусхонд;Собаки;Голландский смаусхонд;25;950;
